Cód. Parceiro;Qty;Prazo Cross Dock
411540UNICA;100;10
411550UNICA;100;2
411555UNICA;100;10
411560UNICA;100;10
411570UNICA;100;2
411575UNICA;100;10
411580UNICA;100;2
411595UNICA;57;10
411597UNICA;100;10
411599UNICA;100;10
411800UNICA;100;10
432000UNICA;100;10
432100UNICA;100;10
432120UNICA;100;10
432150UNICA;18;10
432500UNICA;100;10
432550UNICA;100;10
480400UNICA;100;10
480680PRETO;100;10
480780PRETO;1;2
501080UNICA;100;10
501200UNICA;100;10
540050UNICA;100;10
547010UNICA;100;10
564100UNICA;100;10
564440UNICA;92;10
564460UNICA;9;10
564480UNICA;0;10
622080BRANCO;0;10
622200AZUL;45;10
622250BRANCO;1;2
625000BRANCO;7;10
653000UNICA;100;10
653100UNICA;100;10
653150UNICA;100;10
653600UNICA;9;10
653850UNICA;44;10
653880UNICA;21;10
653900UNICA;23;10
653920UNICA;0;10
653980UNICA;21;10
654500UNICA;100;10
654520UNICA;100;10
654600UNICA;0;10
654620UNICA;100;10
654640UNICA;78;10
654660UNICA;97;10
654661UNICA;100;10
654700UNICA;41;10
654720UNICA;100;10
654740UNICA;100;10
654760UNICA;100;10
654761UNICA;0;10
654800UNICA;0;10
654900UNICA;0;10
110157120756;0;12
702000UNICA;0;10
702090AZUL;0;10
702120VERMELHO;0;10
702150PRETO;0;10
702180AZUL;0;10
702210VERMELHO;0;10
702240PRETO;0;10
703030UNICA;0;10
704131PRETO;0;10
706110PRETO;0;10
706120PRETO;0;10
706190UNICA;100;10
706200UNICA;100;10
707150AMARELO;0;10
707160AZUL;0;10
707360PRETO;12;10
707430AZUL;0;10
707450PRETO;0;10
707460PRETO;0;10
707490UNICA;100;10
707500UNICA;100;10
707510UNICA;76;10
707750AMARELO;100;2
708001UNICA;100;10
708011UNICA;0;10
708030UNICA;100;10
708040UNICA;0;10
708050UNICA;2;2
708231PRETOEVERDE;0;10
708350UNICA;0;10
708360UNICA;100;10
708430UNICA;100;10
708440UNICA;14;10
708530PRETO;77;10
708590PRETO;78;10
708600PRETO;0;10
740050UNICA;100;2
740100UNICA;100;2
740150LARANJA;100;10
740200LARANJA;100;10
741000UNICA;3;2
742500UNICA;100;10
742540UNICA;100;2
742570UNICA;100;10
742575UNICA;100;10
742580UNICA;100;2
743130UNICA;100;10
743200UNICA;0;10
743600UNICA;0;10
743680UNICA;79;10
744050UNICA;100;10
744480PRETO;100;10
744850UNICA;37;10
744870UNICA;55;10
745150UNICA;100;10
745200UNICA;0;10
